Electrode,X,Y,Z,Brain_Region
LAF1,-41.2,60.1,3,rostralmiddlefrontal
LAF2,-48.8,53.1,1.1,rostralmiddlefrontal
LAF3,-55.6,43.8,2.9,parstriangularis
LAF4,-59.1,32.2,1.1,parstriangularis
LAF5,-57.9,20.9,-2.3,parstriangularis
LAF6,-61.7,13.4,-3.9,superiortemporal
LPF1,-22.2,-14.8,77.3,precentral
LPF2,-29.4,-16.5,73.7,precentral
LPF3,-43.6,-9.5,60.6,precentral
LPF4,-51.5,-8.3,54,precentral
LPF5,-60.3,-12.8,43.9,postcentral
LPF6,-62.9,-7.4,37.1,postcentral
LPF7,-66.3,-4.3,26.4,postcentral
LPF8,-68.9,-9,13.9,postcentral
LAT1,-28.9,18.1,-46.8,temporalpole
LAT2,-36.2,9.1,-51.1,fusiform
LAT3,-43.6,-0.6,-49.3,inferiortemporal
LAT4,-50,-7.6,-44.7,inferiortemporal
LMT1,-7.9,-55.7,2.6,lingual
LMT2,-13.3,-49.5,-5,lingual
LMT3,-22.3,-45.5,-13.7,fusiform
LMT4,-32.6,-43.3,-20.6,fusiform
LPT1,-42.8,-86.7,3.9,lateraloccipital
LPT2,-48.9,-81.4,-2,lateraloccipital
LPT3,-53.5,-72.1,-5.6,lateraloccipital
LPT4,-60.3,-61.5,-10.9,inferiortemporal
LDH1,-24.8,-17.9,-19.7,unknown
LDH2,-29.4,-17.9,-19.7,unknown
LDH3,-35,-19.2,-22.1,parahippocampal
LDH4,-40.3,-20.4,-21.8,fusiform
LDH5,-45.3,-20.3,-19.8,inferiortemporal
LDH6,-50.8,-20.3,-20.1,middletemporal
LDA1,-12.6,-7.1,-19,unknown
LDA2,-18.2,-7.1,-19.3,unknown
LDA3,-23.6,-7.9,-20.4,unknown
LDA4,-30.1,-8.4,-21,unknown
LDA5,-37.2,-10.6,-22.3,unknown
LDA6,-41.9,-13.1,-22.8,fusiform
LP3,-44.5,-23.3,63.2,precentral
LP4,-51.4,-23.1,57.6,postcentral
LP5,-60.7,-22,45.9,supramarginal
LP6,-66.7,-19.9,32.8,supramarginal
LP7,-68.6,-15.9,21.6,supramarginal
LP8,-68.2,-20.1,11.8,superiortemporal
RAF1,30.1,59.2,29.1,rostralmiddlefrontal
RAF2,41.9,55.8,23.6,rostralmiddlefrontal
RAF3,48.9,50.7,22,rostralmiddlefrontal
RAF4,55.6,41.6,14.4,rostralmiddlefrontal
RAF5,61.1,32,7.9,parstriangularis
RAF6,61.4,23,1.4,parstriangularis
RPF1,31.5,-27.1,74.1,precentral
RPF2,39.1,-28.4,70,precentral
RPF3,50.2,-22.6,63,precentral
RPF4,56.7,-19.7,57.7,postcentral
RPF5,61.6,-17,48.1,postcentral
RPF6,65.7,-17.2,36.9,postcentral
RPF7,69.7,-14.5,24.7,postcentral
RPF8,70.7,-20.1,10.3,postcentral
RAT1,32.8,16.8,-31.4,fusiform
RAT2,35.6,12.3,-40.7,fusiform
RAT3,41.9,5.3,-43.9,fusiform
RAT4,49.7,-6.7,-44.7,inferiortemporal
RMT1,9.8,-44,-0.3,lingual
RMT2,29,-51.5,-15.9,fusiform
RMT3,29.5,-40.6,-19.6,fusiform
RMT4,40.3,-38.4,-26.2,fusiform
RPT1,21.5,-80.2,-12.9,lateraloccipital
RPT2,32.9,-73.4,-15.3,fusiform
RPT3,40,-66.2,-18.3,fusiform
RPT4,48.6,-59.3,-20,inferiortemporal
RDH1,27.8,-23.4,-13.6,unknown
RDH2,31.3,-24.2,-15.2,unknown
RDH3,37,-21.7,-13.9,unknown
RDH4,42.4,-19.6,-13.4,fusiform
RDH5,48.7,-19.4,-14.2,middletemporal
RDH6,54.2,-19.8,-16,middletemporal
RDA1,12.2,-5.7,-19.2,unknown
RDA2,17.1,-6.3,-20.2,unknown
RDA3,20.8,-6.2,-21.6,unknown
RDA4,26.8,-7.3,-21.2,unknown
RP1,33.7,-33.8,71.5,postcentral
RP2,44.8,-32.2,67,postcentral
RP3,55,-32.9,57.6,postcentral
RP4,60.1,-28.5,52.7,supramarginal
RP5,65.8,-27.8,43.4,supramarginal
RP6,70.9,-30.4,30.2,supramarginal
RP7,70.8,-30.7,21.8,supramarginal
RP8,71.1,-21.3,16.1,superiortemporal
